mp_id,formula,band_gap,Ef_eV_atom,density_g_cm3,volume_A3,nsites,n_elements,crystal_system
mp-770412,ScMn2O5,0.0,-2.518295824482759,4.046179852410718,192.74611906307683,16,3,Orthorhombic
mp-12978,SnO2,0.9607000000000001,-2.090510536666666,7.005788961346521,142.88631956296106,12,2,Orthorhombic
mp-19381,DyCrO3,2.4922,-3.220740385333334,7.978148620394884,218.53793938887344,20,3,Orthorhombic
mp-758011,Li2Fe4Si4O13,,-2.5485584461594213,3.598906782439083,514.5508508337583,46,4,Triclinic
mp-780618,Na2BiO3,0.0,-1.65408734545977,6.119589695622957,328.8284670347229,24,3,Monoclinic
mp-18995,Ba2FeMoO6,0.0,-2.4978201220000003,6.3484488122432,136.65139581841586,10,4,Cubic
mp-559589,V2Ni(TeO5)2,0.8779999999999991,-1.8524438802222232,5.156762771683319,370.80986072966584,30,4,Triclinic
mp-1181502,CsO2,0.0,-0.9785747765517251,4.359741845108314,62.808753879690805,3,2,Orthorhombic
mp-7976,RbGdO2,3.0036,-2.979642334375001,6.437181326797368,70.8660550922345,4,3,Trigonal
mp-29146,VSbO4,0.5192999999999991,-2.235131224999993,5.94239454971778,264.57220185605274,24,3,Tetragonal
mp-757616,LiSn(PO3)4,0.0,-2.464901852883596,2.588664818000668,566.4638399125257,36,4,Monoclinic
mp-3255,SrCu2O3,0.0,-1.682521740833333,5.498802964218518,158.66746022106182,12,3,Orthorhombic
mp-1017564,Eu2O3,0.0,-3.4451725570000002,8.077829720008786,72.34458065048803,5,2,Trigonal
mp-6495,BaEr2ZnO5,3.0633,-3.283035360833333,8.168360362818355,501.92173404272677,36,4,Orthorhombic
mp-14100,Cd(RhO2)2,0.8366999999999991,-1.207960801428568,7.419559621718397,171.08578141548205,14,3,Cubic
mp-21579,V2O3,0.0,-2.53454769325,4.537545604148263,438.79860992930867,40,2,Cubic
mp-554108,LiRe(OF2)2,3.1439,-2.613271225104167,4.712754945381044,212.2136312122714,16,4,Tetragonal
mp-556084,KClO3,5.5725,-1.14875320695,2.198744989889655,370.2079746001091,20,3,Orthorhombic
mp-4602,Tb2Ti2O7,2.7256,-3.775055662045519,6.729483478847888,259.38007148286476,22,3,Cubic
mp-554718,Bi(BO2)3,3.858599999999999,-2.58729035375,6.36254411187319,352.2378121092449,40,3,Orthorhombic
mp-755634,Y2HgO4,1.2172,-2.9200823325,6.402263498057453,229.48799933316982,14,3,Cubic
mp-559299,VPO5,1.7727,-2.4799222699489762,3.33354756313978,161.3066148420819,14,3,Tetragonal
mp-1047490,YFe(WO4)2,2.4675000000000002,-2.432852343333333,6.606963035865896,321.9186998687213,24,4,Triclinic
mp-1226138,Cs2W(OF2)2,3.1768,-2.688816068812262,5.426482313035197,170.642500799889,9,4,Monoclinic
mp-772510,YTh4O10,0.0,-4.116839210666666,8.958830334840941,218.16921470953162,15,3,Tetragonal
mp-556798,AgHg2PO4,1.1892,-1.5083162942261912,7.613776461170054,526.9385487251272,32,4,Orthorhombic
mp-1042152,YSn(WO4)2,0.0,-2.431070379166666,7.386095875441222,316.2272148668448,24,4,Monoclinic
mp-21241,Cr2ReO6,0.08019999999999901,-2.216127602500001,6.587886457466403,194.68850451185764,18,3,Tetragonal
mp-557448,Ba2CaUO6,2.1948,-3.550436109999999,6.39047624557279,337.1538572711704,20,4,Monoclinic
mp-556918,NbPO5,2.2614,-2.9297376160204083,3.276007915397064,413.36403063815254,28,3,Orthorhombic
mp-555070,BaBe2(BO3)2,5.3821,-3.120560616212121,3.6416408611511732,248.94105399470672,22,4,Orthorhombic
mp-22354,Mn2Tl2O7,0.0,-1.493021963411704,8.606347402214437,243.35523552702182,22,3,Cubic
mp-1227238,CaBiIO2,1.553,-2.168917279,6.122036427857116,110.65538382421856,5,4,Tetragonal
mp-562466,SrCoO3,0.0,-1.926445247999999,4.9740322030934,259.7974268506855,20,3,Triclinic
mp-556391,Ba2Mn2Bi2O,0.0,-1.049723959408868,6.395141285535727,425.05240822491294,14,4,Hexagonal
mp-555839,MnNi(BiO3)2,0.0,-1.621011599793104,8.713287830275533,239.20602258908832,20,4,Monoclinic
mp-17559,Y2TiO5,3.279299999999999,-3.848928632604167,4.729269491188135,429.3148804533705,32,3,Orthorhombic
mp-4355,YTiO3,0.0,-3.602780869166666,5.211419462472947,235.49787086691995,20,3,Orthorhombic
mp-23614,SrNb2Bi2O9,2.5807,-2.6803581721428573,6.798632743194401,408.08048554871783,28,4,Orthorhombic
mp-558655,Re2PbO6,0.0,-1.923993715740742,9.437474701150673,356.6242554900199,27,3,Trigonal
mp-776199,AgClO3,3.113099999999999,-0.396924448333332,4.111923887247284,309.0459323760985,20,3,Monoclinic
mp-554038,CaTa2O6,2.4405,-3.408302982462963,6.8196806414842595,485.00740615389486,36,3,Cubic
mp-540763,TiMn2O4,1.387999999999999,-2.67569474631363,4.535129077234599,324.76171868904254,28,3,Tetragonal
mp-18879,V2ZnO4,0.0,-2.26858577857143,4.884105583373857,157.27154540053226,14,3,Cubic
mp-18740,V2Cd2O7,2.5598,-2.076633188636363,4.666466122765736,156.1095265204487,11,3,Monoclinic
mp-23126,KAs4IO6,2.3379,-1.660899759354167,3.9149699948605132,238.23958634546827,12,4,Hexagonal
mp-18494,Nd2MoO6,2.6647,-3.105778840833333,6.055464340605591,526.966586025221,36,3,Tetragonal
mp-7950,ThSeO,0.769,-3.304229294114581,9.41536851374871,115.34164726873333,6,3,Tetragonal
mp-555741,RbAu(SO4)2,1.7149,-1.681593854374999,4.131686122630421,190.7271463427782,12,4,Triclinic
mp-754240,CaSm2O4,3.8425000000000002,-3.627494344285714,5.539402778780739,242.6900280162469,14,3,Cubic
mp-510262,Cs3O,0.0,-0.9187472859913781,2.695238305760666,511.0135993559472,8,2,Hexagonal
mp-9489,NaSmTiO4,2.4179999999999993,-3.348860017101805,5.194188785211756,182.3613357656621,14,4,Tetragonal
mp-754806,Ni5O6,0.0,-1.06833911,6.200943768911236,104.29367122360046,11,2,Monoclinic
mp-573037,Tb2MnNiO6,1.8813,-2.850117359626436,7.7698790147364605,225.46006935361137,20,4,Monoclinic
